	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00310832	3	1	1	1	1	1	0	48	0	0	6.96657	 	0	0
DL	0.00310832	3	1	1	1	2	1	0	48	0	0	25.9076	 	0	0
DL	0.00311248	3	1	2	1	1	2	0	48	0	0	31.3392	 	0	0
UL	0.00360832	3	6	1	1	2	1	0	48	0	0	9.90763 	0	0
UL	0.00360832	3	6	1	1	1	1	0	48	0	0	-9.03343 	1	0.999945
UL	0.00361248	3	6	2	1	1	2	0	48	0	0	15.3392 	0	0
DL	0.00400832	4	0	1	1	2	1	0	1640	26	0	25.9076	 	0	3.33067e-15
DL	0.00400832	4	0	1	1	1	2	0	1776	28	0	31.3392	 	0	0
UL	0.0239083	23	9	1	1	1	1	0	48	0	0	-9.03343 	1	0.999945
DL	0.0331083	33	1	1	1	2	1	0	48	0	0	25.9076	 	0	0
DL	0.0331083	33	1	1	1	1	2	0	48	0	0	31.3392	 	0	0
UL	0.0336083	33	6	1	1	2	1	0	48	0	0	9.90763 	0	0
UL	0.0336083	33	6	1	1	1	2	0	48	0	0	15.3392 	0	0
DL	0.0340083	34	0	1	1	2	1	0	1640	26	0	25.9076	 	0	3.33067e-15
DL	0.0340083	34	0	1	1	1	2	0	1776	28	0	31.3392	 	0	0
UL	0.0442083	44	2	1	1	1	1	0	48	0	0	-9.03343 	1	0.999945
UL	0.0645083	64	5	1	1	1	1	0	48	0	0	-9.03343 	1	0.999945
UL	0.0848083	84	8	1	1	1	1	0	48	0	0	-9.03343 	1	0.999945
UL	0.105108	105	1	1	1	1	1	0	48	0	0	-7.72331 	1	0.974471
UL	0.120317	120	3	1	3	2	1	0	152	0	0	4.41713 	0	0
UL	0.125408	125	4	1	1	1	1	0	48	0	0	-7.72331 	1	0.974471
UL	0.145708	145	7	1	1	1	1	0	48	0	0	-7.72331 	1	0.974471
UL	0.166008	166	0	1	1	1	1	0	48	0	0	-7.72331 	1	0.974471
UL	0.180317	180	3	1	3	1	2	0	152	0	0	14.4047 	0	0
UL	0.186308	186	3	1	1	1	1	0	48	0	0	-7.72331 	1	0.974471
UL	0.206608	206	6	1	1	1	1	0	48	0	0	-4.32377 	0	7.78779e-08
